nr,city,title,description,tags,location,contact,latitude,longitude,geo
113,Recco,P.A. CROCE VERDE RECCO,"Consegna farmaci a domicilio, servizio rivolto a over 60 con prenotazioni tramite email o telefono", Pronto farmaci e/o spesa,"44.36318, 9.141902","This is a post from ANPAS.
See https://anpas.ushahidi.io/posts/113 for details.",44.36318,9.141902,
114,Rosignano Marittimo,Pescheria Sapori di Mare,"Aderisce alla Rete ""Spesa amica a casa"" riferimento Pubblica Assistenza Rosignano", Spesa amica a casa,"43.351578, 10.454846","This is a post from ANPAS.
See https://anpas.ushahidi.io/posts/114 for details.",43.351578,10.454846,
115,Pietra ligure,P.A. PIETRA SOCCORSO,PRONTO FARMACO Servizio di consegna farmaci a domicilio sia urgenti che normali, Pronto farmaci e/o spesa,"44.154235, 8.283932","This is a post from ANPAS.
See https://anpas.ushahidi.io/posts/115 for details.",44.154235,8.283932,
116,Albisola Marina,P.A. CROCE D'ORO ALBISSOLA MARINA,"TELEFONO D'ORO - Servizio di spesa e reperimento farmaci per gli anziani preferenzialmente dai 75 anni di età. Prenotazione telefonica al numero indicato, dalle 9 alle 18 tutti i giorni.", Pronto farmaci e/o spesa,"44.329466, 8.506873","This is a post from ANPAS.
See https://anpas.ushahidi.io/posts/116 for details.",44.329466,8.506873,
117,Genova,P.A. CROCE BIANCA SAN DESIDERIO,"Domiciliazione spesa e farmaci. Il servizio è rivolto a persone anziane, sole o comunque che hanno difficoltà nel poter provvedere autonomamente alla spesa o all’acquisto di generi di prima necessità e farmaci.", Pronto farmaci e/o spesa,"44.418993, 9.002451","This is a post from ANPAS.
See https://anpas.ushahidi.io/posts/117 for details.",44.418993,9.002451,
118,Cogoleto,V.P.S. CROCE D'ORO SCIARBORASCA,Consegna farmaci a domicilio. Servizio rivolto alle persone con più di 65 anni., Pronto farmaci e/o spesa,"44.398764, 8.614459","This is a post from ANPAS.
See https://anpas.ushahidi.io/posts/118 for details.",44.398764,8.614459,
119,Moneglia,P.A. CROCE AZZURRA MONEGLIESE,"Consegna medicinali e spesa giornaliera a cura del Gruppo di Protezione Civile, prioritariamente destinato alle persone anziane, sole, in isolamento fiduciario o volontario.", Pronto farmaci e/o spesa,"44.240719, 9.488613","This is a post from ANPAS.
See https://anpas.ushahidi.io/posts/119 for details.",44.240719,9.488613,
120,Cervo,P.A. CROCE D'ORO CERVO,"Trasporto farmaci a domicilio per il Comune di Cervo, trasporto di generi alimentari per il Comune di Imperia.", Pronto farmaci e/o spesa,"43.926759, 8.115109","This is a post from ANPAS.
See https://anpas.ushahidi.io/posts/120 for details.",43.926759,8.115109,
121,Genova,P.A. CROCE VERDE SAN GOTTARDO,Consegna farmaci e generi alimentari, Pronto farmaci e/o spesa,"44.42792, 8.950254","This is a post from ANPAS.
See https://anpas.ushahidi.io/posts/121 for details.",44.42792,8.950254,
122,Spotorno,P.A. CROCE BIANCA SPOTORNO,LA SPESA A CASA TE LA PORTIAMO NOI. Servizio attivato dal Comune di Sportorno in collaborazione con la Croce Bianca e l'associazione Il Melograno-Uniti per Spotorno. Servizio dedicato agli anziani per l'acquisto di generi alimentari e/o farmaci., Pronto farmaci e/o spesa,"44.225106, 8.41559","This is a post from ANPAS.
See https://anpas.ushahidi.io/posts/122 for details.",44.225106,8.41559,
123,Celano,P.A. Gran Sasso Soccorso L'Aquila (AQ),"Consegna di farmaci e beni di prima necessità sul territorio comunale di L'Aquila e frazioni. Il servizio è dedicato ai residenti in quarantena, disabili, anziani e malati oncologici ed è effettuato in collaborazione con A.L.I.Ce. Abruzzo Onlus", Pronto farmaci e/o spesa,"42.137303, 13.611129","This is a post from ANPAS.
See https://anpas.ushahidi.io/posts/123 for details.",42.137303,13.611129,
124,Bologna,Pubblica Assistenza città di Bologna,Aderisce al Piano Mais in collaborazione con il Comune di Bologna . Servizio spesa e farmaci a domicilio., Pronto farmaci e/o spesa,"44.496574, 11.383778","This is a post from ANPAS.
See https://anpas.ushahidi.io/posts/124 for details.",44.496574,11.383778,
125,Monterenzio,Pubblica Assistenza Monterenzio,Spesa e farmaci in collaborazione assistenti sociali del comune, Pronto farmaci e/o spesa,"44.329842, 11.407778","This is a post from ANPAS.
See https://anpas.ushahidi.io/posts/125 for details.",44.329842,11.407778,
126,Pianoro,Pubblica Assistenza Pianoro,Consegna farmaci e spesa., Pronto farmaci e/o spesa,"44.393546, 11.344585","This is a post from ANPAS.
See https://anpas.ushahidi.io/posts/126 for details.",44.393546,11.344585,
127,Galliera,P.A.Croce Italia Comuni di Pianura,Consegna spesa e farmaci, Pronto farmaci e/o spesa,"44.740797, 11.435056","This is a post from ANPAS.
See https://anpas.ushahidi.io/posts/127 for details.",44.740797,11.435056,
128,Castenaso,Pubblica Assistenza Castenaso,Consegna spesa e farmaci, Pronto farmaci e/o spesa,"44.511446, 11.464185","This is a post from ANPAS.
See https://anpas.ushahidi.io/posts/128 for details.",44.511446,11.464185,
129,Crevalcore,Pubblica Assistenza Crevalcore,Consegna spesa e farmaci, Pronto farmaci e/o spesa,"44.715842, 11.149959","This is a post from ANPAS.
See https://anpas.ushahidi.io/posts/129 for details.",44.715842,11.149959,
130,Ozzano dell'Emilia,Pubblica Assistenza Ozzano e San Lazzaro,Consegna spesa e farmaci, Pronto farmaci e/o spesa,"44.446343, 11.47655","This is a post from ANPAS.
See https://anpas.ushahidi.io/posts/130 for details.",44.446343,11.47655,
131,Castelnovo Ne' Monti,Pa Croce Verde Castelnovo Ne' Monti,Consegna spesa e farmaci, Pronto farmaci e/o spesa,"44.428953, 10.398109","This is a post from ANPAS.
See https://anpas.ushahidi.io/posts/131 for details.",44.428953,10.398109,
132,Rosignano Marittimo,Giudici Elettrodomestici Pellet -Gas,"Aderisce alla Rete ""Spesa Amica a Casa"". Riferimento Pubblica Assistenza Rosignano ", Spesa amica a casa,"43.391144, 10.435901","This is a post from ANPAS.
See https://anpas.ushahidi.io/posts/132 for details.",43.391144,10.435901,
133,Santo Stefano di magra,P.A. CROCE BIANCA SANTO STEFANO MAGRA,"Trasporto farmaci ed esami a domicilio. A seguito della prenotazione presso una delle farmacie del paese e invio delle ricette dal medico di famiglia in formato digitale alla stessa, i militi della Croce Bianca porteranno i farmaci al domicilio dei residenti.", Pronto farmaci e/o spesa,"44.16258, 9.914001","This is a post from ANPAS.
See https://anpas.ushahidi.io/posts/133 for details.",44.16258,9.914001,
134,Amatrice,Casa della Montagna di Amatrice,"Oltre al COC (Centro Operativo Comunale), nella Sala conferenze Egidio Pelagatti della Casa della Montagna, è attivo il Servizio Prontospesa dedicato all'acquisto e consegna di generi alimentari e farmaci a cura di Croce Rossa Italiana Gruppo Amatrice.", Pronto farmaci e/o spesa,"42.632059, 13.298407","This is a post from ANPAS.
See https://anpas.ushahidi.io/posts/134 for details.",42.632059,13.298407,
135,Rosignano Marittimo,Alimentari Caffè Borbone da Maris e Francesco,"Aderisce alla Rete ""Spesa Amica a Casa"" riferimento Pubblica Assistenza Rosignano", Spesa amica a casa,"43.402462, 10.443106","This is a post from ANPAS.
See https://anpas.ushahidi.io/posts/135 for details.",43.402462,10.443106,
136,Messina,Pegaso Messina Onlus,Acquisto di beni di prima necessità e accordo con il banco alimentare, Pronto farmaci e/o spesa,"38.193757, 15.554208","This is a post from ANPAS.
See https://anpas.ushahidi.io/posts/136 for details.",38.193757,15.554208,
137,Gubbio,Gubbio Soccorso,Consegna SPESA a domicilio di generi di prima necessità. Ritiro e consegna FARMACI. Servizi rivolti a tutta la collettività, Pronto farmaci e/o spesa,"43.31892, 12.619102","This is a post from ANPAS.
See https://anpas.ushahidi.io/posts/137 for details.",43.31892,12.619102,
138,Città di Castello,Croce Bianca Tifernate,Consegna Farmaci a domicilio - Comune di Città di Castello e Comune di Citerna, Pronto farmaci e/o spesa,"43.478276, 12.253474","This is a post from ANPAS.
See https://anpas.ushahidi.io/posts/138 for details.",43.478276,12.253474,
139,San Giorgio Morgeto,P.A. SAN GIORGIO SOCCORSO,"Consegna farmaci, alimenti e beni di prima necessità a domicilio.", Pronto farmaci e/o spesa,"38.386958, 16.108165","This is a post from ANPAS.
See https://anpas.ushahidi.io/posts/139 for details.",38.386958,16.108165,
140,Magliano de' Marsi,P.A. Gruppo Volontari Magliano de'Marsi (AQ),Consegna a domicilio della spesa sul territorio comunale. Servizio in collaborazione con il comune di Magliano de'Marsi., Pronto farmaci e/o spesa,"42.090813, 13.35482","This is a post from ANPAS.
See https://anpas.ushahidi.io/posts/140 for details.",42.090813,13.35482,
141,Avezzano,P.A. Croce Blu Marsica Soccorso (AQ),"Consegna a domicilio di farmaci e spesa sul territorio di Avezzano, in collaborazione con il servizio di Protezione Civile comunale.", Pronto farmaci e/o spesa,"42.024405, 13.423983","This is a post from ANPAS.
See https://anpas.ushahidi.io/posts/141 for details.",42.024405,13.423983,
142,Avezzano,P.A. Croce Verde Avezzano (AQ),Consegna a domicilio di farmaci e spesa sul territorio comunale. Per richiedere il servizio contattare il Centro Operativo Comunale di Avezzano., Pronto farmaci e/o spesa,"42.028276, 13.417358","This is a post from ANPAS.
See https://anpas.ushahidi.io/posts/142 for details.",42.028276,13.417358,
143,Pontinvrea,P.A. CROCE BIANCA PONTINVREA,Approvvigionamento e consegna di beni di prima necessità e medicinali per tutti gli over 70 che ne fanno richiesta., Pronto farmaci e/o spesa,"44.43071, 8.421286","This is a post from ANPAS.
See https://anpas.ushahidi.io/posts/143 for details.",44.43071,8.421286,
144,Andora,P.A. CROCE BIANCA ANDORA,"Servizio di spesa e farmaci a domicilio, ritiro delle ricette presso gli studi medici. In collaborazione con il Comune di Andora"," Pronto farmaci e/o spesa, Spesa amica a casa","43.954476, 8.142857","This is a post from ANPAS.
See https://anpas.ushahidi.io/posts/144 for details.",43.954476,8.142857,
145,,P.A. CROCE VERDE QUARTO DEI MILLE,Consegna a domicilio delle spesa e dei farmaci per tutti i cittadini che non riescono a provvedere autonomamente.," Pronto farmaci e/o spesa, Spesa amica a casa","44.393785, 8.997496","This is a post from ANPAS.
See https://anpas.ushahidi.io/posts/145 for details.",44.393785,8.997496,
146,,Gruppo Volontari Ambulanza del Vergante di Nebbiuno (NO),Spesa e farmaci a domicilio. Le Organizzazioni di Volontariato del Vergante insieme con gli esercizi commerciali del Comune di Nebbiuno mettono a disposizione della popolazione con necessità un servizio di consegna a domicilio con il seguente orario: dalle 8:00 alle 10:30 prenotazione servizio; dalle 10:30 alle 12:30 distribuzione a domicilio. I volontari saranno muniti di tesserino di riconoscimento., Pronto farmaci e/o spesa,"45.803573, 8.527126","This is a post from ANPAS.
See https://anpas.ushahidi.io/posts/146 for details.",,,
147,,Volontari del Soccorso di San Maurizio d’Opaglio (NO),"Supporto telefonico, consegna farmaci e spesa a domicilio.
SUPPORTO INFORMATIVO IN MATERIA SOCIO SANITARIA. Il Comune di San Maurizio d’Opaglio in collaborazione con i Volontari del Soccorso ha aperto il numero telefonico dedicato 335-7169291 attivo tutti i giorni per 12 ore dalle 8:00 alle 20:00, quale supporto informativo in materia socio-sanitaria.
Consegna FARMACI a domicilio. In accordo con la Farmacia Comunale, i medici di base e il supporto dei Volontari del Soccorso è stato attivato il servizio di consegna dei farmaci a domicilio, che tutte le persone in difficoltà possono richiedere attraverso il proprio medico curante.
Consegna SPESA a domicilio. Per tutta la durata dei provvedimenti restrittivi è a disposizione delle persone di età superiore ai 65 anni e delle persone affette da patologie croniche un servizio di consegna a domicilio di generi alimentari e di prima necessità.", Pronto farmaci e/o spesa,"45.773453, 8.390395","This is a post from ANPAS.
See https://anpas.ushahidi.io/posts/147 for details.",,,
148,,Croce Verde None (TO),"Il Gruppo Giovani della Croce Verde di None è disponibile a svolgere servizio gratuito di consegna a domicilio di farmaci e spesa per coloro che necessitano di restare a casa a titolo precauzionale. Il servizio è disponibile all’interno del comune di None, dal lunedì al venerdì dalle 09:00 alle 11:00 e dalle 15:00 alle 17:00. I volontari effettueranno servizio in divisa.", Pronto farmaci e/o spesa,"44.933143, 7.540121","This is a post from ANPAS.
See https://anpas.ushahidi.io/posts/148 for details.",,,
149,,Croce Verde Pinerolo (TO),La Croce Verde di Pinerolo ha attivato il servizio gratuito di consegna farmaci a domicilio riservato a persone anziane e a categorie fragili. Dal lunedì al venerdì 9-12 e 15-18. I volontari svolgono il servizio in divisa., Pronto farmaci e/o spesa,"44.887309, 7.331945","This is a post from ANPAS.
See https://anpas.ushahidi.io/posts/149 for details.",,,
150,,Croce Verde Torino sezione di Ciriè (TO),"La Città di Ciriè, in collaborazione con la Croce Verde Torino sezione di Ciriè, promuove il servizio di consegna gratuita dei farmaci a domicilio, presso le farmacie di Ciriè aderenti al progetto. Il servizio è destinato agli ultra 65enni che non siano in isolamento fiduciario o in quarantena. I richiedenti prenderanno accordi telefonici direttamente con la farmacia. Saranno quindi i volontari della Croce Verde a portare a casa i farmaci acquistati, in busta chiusa e nel massimo rispetto della privacy. Il servizio sarà attivo nei giorni di lunedì, mercoledì e venerdì.", Pronto farmaci e/o spesa,"45.235277, 7.600308","This is a post from ANPAS.
See https://anpas.ushahidi.io/posts/150 for details.",,,
151,,Croce Verde Torino sezione di Venaria (TO),Spesa e farmaci a domicilio. Il servizio è attivato dalla Città di Venaria Reale ed è gestito dalla Croce Verde Torino sezione di Venaria. Il servizio è dedicato a persone anziane o impossibilitate a uscire di casa. Attivo tutti i giorni con il seguente orario: 10:00-12:00 e 14:00–17:30., Pronto farmaci e/o spesa,"45.130682, 7.606034","This is a post from ANPAS.
See https://anpas.ushahidi.io/posts/151 for details.",,,
152,,Pubblica Assistenza Sauze d’Oulx (TO),"Servizio gratuito di consegna spesa a domicilio proposto dal Comune di Sauze d’Oulx in collaborazione con Protezione Civile e Pubblica Assistenza. Riservato alla cittadinanza residente a Sauze d’Oulx e sue frazioni. Occorre prenotare la spesa presso gli esercenti indicati. Consegna prevista il giorno successivo alla prenotazione.
La spesa verrà consegnata nel pomeriggio tra le 14:00 e le 18:00. Si raccomanda per necessità organizzative di assemblare una spesa che renda autonomi per qualche giorno così da poter soddisfare tutte le richieste. A spesa assemblata si verrà contattati dal responsabile dell’ordine così da comunicare l’importo dovuto e saldare lo stesso (in contanti) a chi vi consegnerà i pacchi. Persone responsabili del servizio: Roberta 379-1221750 e Maria Paola 338-4864012", Pronto farmaci e/o spesa,"45.027027, 6.858346","This is a post from ANPAS.
See https://anpas.ushahidi.io/posts/152 for details.",,,
153,,Croce Bianca Alice Castello Borgo d’Ale (VC),"Il Comune di Borgo d’Ale, insieme alla Croce Bianca di Alice Castello Borgo d’Ale e ai Coscritti 2002, ha istituito un nuovo servizio gratuito di consegna della spesa alimentare e farmaci a domicilio per i cittadini in difficoltà, per contrastare e contenere la diffusione del Coronavirus.", Pronto farmaci e/o spesa,"45.365158, 8.072925","This is a post from ANPAS.
See https://anpas.ushahidi.io/posts/153 for details.",,,
154,,P.A. Amici del Soccorso (CH),Consegna a domicilio farmaci e spesa sul territorio dei comuni di Crecchio - Pescara - Francavilla, Pronto farmaci e/o spesa,"42.219226, 14.279989","This is a post from ANPAS.
See https://anpas.ushahidi.io/posts/154 for details.",,,
155,,Fratellanza Popolare delle Caldine - Fiesole,Per acquisti generi alimentari e farmaci con consegna a domicilio per le persone con patologie che non permettono loro di muoversi da casa., Pronto farmaci e/o spesa,"43.833568, 11.30551","This is a post from ANPAS.
See https://anpas.ushahidi.io/posts/155 for details.",,,
156,,P.A. Amici del cuore Colonnella (TE),PRONTOSPESA: consegna a domicilio farmaci e spesa dedicato ai cittadini del comune di Colonnella., Pronto farmaci e/o spesa,"42.871155, 13.866798","This is a post from ANPAS.
See https://anpas.ushahidi.io/posts/156 for details.",,,
157,,Associazione La Luce ODV,Consegna farmaci a domicilio tutti i giorni dalle 16.30 alle 19.00, Pronto farmaci e/o spesa,"40.629262, 16.800349","This is a post from ANPAS.
See https://anpas.ushahidi.io/posts/157 for details.",,,
158,,P.A. Protezione Civile Arcobaleno (CH),"Consegna a domicilio di farmaci e spesa sul territorio comunale di SAN SALVO in collaborazione con il Centro Operativo Comunale.
Consegna a domicilio di farmaci e spesa sul territorio comunale di GISSI in collaborazione con il Centro Operativo Comunale.Consegna a domicilio di farmaci e spesa sul territorio comunale di SAN SALVO in collaborazione con il Centro Operativo Comunale.
", Pronto farmaci e/o spesa,"42.041664, 14.731337","This is a post from ANPAS.
See https://anpas.ushahidi.io/posts/158 for details.",,,
159,,Pubblica Assistenza Fucecchio,Servizio di consegna spesa a domicilio per gli anziani ed i più fragili. In collaborazione con il Comune., Pronto farmaci e/o spesa,"43.729202, 10.808205","This is a post from ANPAS.
See https://anpas.ushahidi.io/posts/159 for details.",,,
160,,Pubblica Assistenza S.O.S. Sava,"Servizio di consegna a domicilio dei #armaci e spesa da parte dei volontari della S.O.S., in collaborazione anche con gli ""Angeli di quartiere"".", Pronto farmaci e/o spesa,"40.403424, 17.558409","This is a post from ANPAS.
See https://anpas.ushahidi.io/posts/160 for details.",,,
161,,P.A. CROCE BIANCA BORGHETTO SANTO SPIRITO,Consegna farmaci e spesa a domicilio per le persone che ne fanno richiesta. In collaborazione con la Protezione Civile di Borghetto S. Spirito.," Pronto farmaci e/o spesa, Spesa amica a casa","44.10978, 8.24155","This is a post from ANPAS.
See https://anpas.ushahidi.io/posts/161 for details.",,,
