title,description,city,contact,nr,latitude,longitude
"Nachbarschaftshilfe Mönchengladbach, Nordrhein-Westfalen, Germany",Solidarische Nachbarschaft / solidary neighbourhood nr. 146,Mönchengladbach,"Facebook: https://www.facebook.com/groups/202697341072654<br><br>North Rhine-Westphalia, Germany",146,51.43323669999999,7.661593799999999
"Nachbarschaftshilfe München, Bayern, Germany",Solidarische Nachbarschaft / solidary neighbourhood nr. 147,München,"Telegram: https://t.me/solidarischenachbarschaftmuc<br><br>München, Deutschland",147,48.142914,11.576848
"Nachbarschaftshilfe Neufahrn, Bayern, Germany",Solidarische Nachbarschaft / solidary neighbourhood nr. 148,Neufahrn bei Freising ,"Telegram: https://t.me/solidarischenachbarschaft<br><br>Neufahrn bei Freising, Germany",148,48.3149823,11.6617978
"Nachbarschaftshilfe Nürnberg, Bayern, Germany",Solidarische Nachbarschaft / solidary neighbourhood nr. 149,Nürnberg Nuremberg,"* Telegram: https://t.me/NachbarschaftshilfeNuernberg * WhatsApp: https://chat.whatsapp.com/CEmrinRRUsqDVgyojtyBCn<br><br>Nürnberg, Bayern, Germany",149,49.460115,11.091832
"Nachbarschaftshilfe Osnabrück, Niedersachsen, Germany",Solidarische Nachbarschaft / solidary neighbourhood nr. 151,Osnabrück,"* Allgemein Telegram: https://t.me/joinchat/F-OtAB0dW2z61JRb6PK5gg * Dodesheide Telegram: https://t.me/joinchat/QePX5RlPsASXsK2MyIaq1A * Gartlage Telegram: https://t.me/gartlagesolidarisch * Haste Telegram: https://t.me/joinchat/ABLMphXZOymTEncvFP0KmA * Hellern Telegram: http://t.me/solidarischinhellern * Innenstadt Telegram: https://t.me/innenstadtsolidarisch * Kalkhügel Telegram: https://t.me/joinchat/MGZamx2e812lo2A_X_EzKQ * Schinkel Telegram: https://t.me/joinchat/RGXmSBxRxss1tE0rYqXqsg * Schölerberg Telegram: https://t.me/joinchat/Aq1tdB1J-6mosAPI6TDh_Q * Sonnenhügel Telegram: https://t.me/joinchat/F-OtABVqC8W3LCmhENesMg * Sutthausen Telegram: https://t.me/joinchat/IvHZVhceoK89tTFqmoQCmg * Voxtrup Telegram: https://t.me/joinchat/PM5GJhutUh3ugUbWIsFUCA * Westerberg Telegram: https://t.me/solidaritaet_westerberg * Wüste Telegram: https://t.me/joinchat/KZlpfRvItm60yiiJMc2Qwg<br><br>Osnabrück, Germany",151,52.2799112,8.0471788
"Nachbarschaftshilfe Potsdam, Brandenburg, Germany",Solidarische Nachbarschaft / solidary neighbourhood nr. 165,Potsdam,"Facebook: https://www.facebook.com/groups/650048692493384<br><br>Potsdam, Germany",165,52.3905689,13.0644729
"Nachbarschaftshilfe Reutlingen, Baden-Württemberg, Germany",Solidarische Nachbarschaft / solidary neighbourhood nr. 166,Reutlingen,"Facebook: https://www.facebook.com/groups/nachbarschaftschallenge.reutlingen | Web: https://www.rosa-reutlingen.de/2020/03/14/nachbarschaftschallenge-reutlingen-solidaritaet-staerkt-uns-alle/<br><br>Reutlingen, Germany",166,48.50693889999999,9.2038043
"Nachbarschaftshilfe Riesa, Sachsen, Germany",Solidarische Nachbarschaft / solidary neighbourhood nr. 168,Riesa,"Telegram: https://t.me/CoronaSoliRiesa<br><br>Riesa, Germany",168,51.3117871,13.2677004
"Nachbarschaftshilfe Rodenkirchen, 26935, Stadland, Niedersachsen, Germany",Solidarische Nachbarschaft / solidary neighbourhood nr. 169,Rodenkirchen Stadland,"Facebook: https://www.facebook.com/groups/1520595048108000<br><br>Rodenkirchen, Cologne, Germany",169,50.8924909,6.9672627
"Nachbarschaftshilfe Rostock, Mecklenburg-Vorpommern, Germany Kröpeliner-Tor-Vorstadt",Solidarische Nachbarschaft / solidary neighbourhood nr. 170,Rostock,"Telegram: https://t.me/joinchat/HSsnSg8-hyhT0GSW0hW8HQ<br><br>Kröpeliner-Tor-Vorstadt, Rostock, Germany",170,54.0893296,12.1134627
"Nachbarschaftshilfe Schwabach, Bayern, Germany",Solidarische Nachbarschaft / solidary neighbourhood nr. 171,Schwabach,"Telegram: https://t.me/NachbarschaftshilfeSchwabach<br><br>91126 Schwabach, Germany",171,49.3288905,11.0244827
"Nachbarschaftshilfe Siegen, Nordrhein-Westfalen, Germany",Solidarische Nachbarschaft / solidary neighbourhood nr. 172,Siegen,"Facebook: https://www.facebook.com/Solidarit%C3%A4t-und-Nachbarschaft-SoliNa-100546638253991/<br><br>Siegen, Germany",172,50.8838492,8.020959099999999
"Nachbarschaftshilfe Stendal, Sachsen-Anhalt, Germany",Solidarische Nachbarschaft / solidary neighbourhood nr. 173,Stendal,"Telegram: https://t.me/stendal_solidarisch<br><br>39576 Stendal, Germany",173,52.6041444,11.8517729
"Nachbarschaftshilfe Stuhr, Niedersachsen, Germany",Solidarische Nachbarschaft / solidary neighbourhood nr. 174,Stuhr,"Facebook: https://www.facebook.com/groups/930103567408332<br><br>28816 Stuhr, Germany",174,53.0289775,8.7361402
"Nachbarschaftshilfe Süd Stuttgart, Baden-Württemberg, Germany",Solidarische Nachbarschaft / solidary neighbourhood nr. 175,Stuttgart,"Telegram: https://t.me/stuttgartsuedsolistatthamster<br><br>Stuttgart, Baden-Württemberg, Germany",175,48.7758459,9.1829321
"Nachbarschaftshilfe Winsen (Luhe), Niedersachsen, Germany",Solidarische Nachbarschaft / solidary neighbourhood nr. 176,Winsen (Luhe),"WhatsApp: https://chat.whatsapp.com/Fd4NCnauMCm7WU67kWAbCg<br><br>21423 Winsen, Germany",176,53.3574436,10.2127204
"Nachbarschaftshilfe Weingarten, Baden-Württemberg, Germany",Solidarische Nachbarschaft / solidary neighbourhood nr. 177,Weingarten,"Telegram: https://t.me/joinchat/EQxIUhszAeAcTZh4fP3Utw<br><br>88250 Weingarten, Germany",177,47.8096019,9.637983199999999
"Nachbarschaftshilfe Wiesbaden, Hessen, Germany",Solidarische Nachbarschaft / solidary neighbourhood nr. 200,Wiesbaden,"Telegram: https://t.me/joinchat/O10G-BpkG1akS53e-HjEHQ<br><br>Wiesbaden, Deutschland",200,50.0782184,8.239760799999999
